resp_id,age,gender,educ,hhincome,empl_pre,empl_now,jobcat_pre,jobcat_now,wfh_pre,wfh_pre_freq,wfh_now,wfh_now_days,wfh_expect,wfh_freq_exp,pre_work_com_days,pre_work_pri_mode,pre_work_pri_time,pre_work_com_dist,prod_change,prod_decr_reason_4,prod_decr_reason_5,prod_decr_reason_9,prod_incr_reason_1,prod_incr_reason_3,tr_freq_pre_privateveh,tr_freq_pre_ridehail,tr_freq_pre_transit,tr_freq_pre_bikepers,tr_freq_pre_bikeshared,tr_freq_pre_walk,tr_freq_now_privateveh,tr_freq_now_ridehail,tr_freq_now_transit,tr_freq_now_bikepers,tr_freq_now_bikeshared,tr_freq_now_walk,tr_freq_exp_privateveh,tr_freq_exp_ridehail,tr_freq_exp_transit,tr_freq_exp_bikepers,tr_freq_exp_bikeshared,tr_freq_exp_walk,decrease_transit_1,decrease_transit_2,decrease_transit_3,increase_bike_1,increase_bike_2,increase_bike_3,driver,bike,weight,age_group,income_bracket,educ_simple,wfh_pre_freq_num,wfh_freq_exp_num,prod_change_num,jobcat_pre_simple
1258,36,Male,Completed graduate degree(s),"$50,000 to $74,999",Employed full time,"Yes, working full-time",,,No,,Yes,5.0,Yes,Once/week,5.0,Private vehicle,35.0,5.0,Decreased significantly,More distractions at home,Difficult to communicate with co-workers,Not selected,,,3.0,0.5,0.5,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,Not selected,Not selected,I no longer feel comfortable sharing space with strangers,I realized I really like biking,Not selected,Not selected,Yes,Yes,0.7049399581460001,30–44,$35k–$74k,Graduate degree,,1.0,-2.0,
1259,70,Male,Some grade/high school,"$50,000 to $74,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,3.0,0.0,0.1,0.0,0.0,0.1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,Yes,No,3.280649938,60–74,$35k–$74k,High school or less,,,,
1260,54,Female,Bachelor's degree(s) or some graduate school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",,,No,,Yes,1.0,No,,0.0,,,1.0,In some ways it has increased and in other ways it has decreased,More distractions at home,Not selected,Not selected,Not selected,Not selected,5.0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.6981646478820001,45–59,$75k–$124k,Bachelor's,,,0.0,
1261,26,Female,Completed graduate degree(s),"$200,000 or more",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,No,,Yes,5.0,Yes,A few times/month,5.0,Transit,25.0,3.0,In some ways it has increased and in other ways it has decreased,More distractions at home,Not selected,There are too many concerns on my mind to be able to focus fully on work,Less distractions at home,No commuting time,0.0,0.1,5.0,0.0,0.1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,Not selected,Not selected,Not selected,No,Yes,3.0782809885400004,18–29,$125k+,Graduate degree,,0.5,0.0,Professional/Manager
1262,43,Female,Some college or technical school,"$25,000 to $34,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,45.0,19.0,Increased significantly,,,,,,5.0,0.1,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.406561144,30–44,Under $35k,Some college,,,2.0,
1263,43,Female,Some college or technical school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,50.0,40.0,Increased somewhat,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,0.0,,,,,,,,,,,,Yes,No,1.783346086,30–44,$75k–$124k,Some college,,,1.0,
1264,26,Female,Completed graduate degree(s),"$100,000 to $124,999",Employed full time,"Yes, working full-time",,,Yes,A few times/year,Yes,5.0,Yes,A few times/year,5.0,Private vehicle,30.0,15.0,About the same,,,,,,5.0,0.1,0.0,0.1,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.593986385,18–29,$75k–$124k,Graduate degree,0.1,0.1,0.0,
1265,62,Female,Completed graduate degree(s),"$125,000 to $149,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,Yes,A few times/week,Yes,5.0,Yes,A few times/week,2.0,Transit,30.0,12.0,About the same,,,,,,5.0,0.1,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.355626688,60–74,$125k+,Graduate degree,3.0,3.0,0.0,Professional/Manager
1267,61,Female,Bachelor's degree(s) or some graduate school,"$50,000 to $74,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.468483431,60–74,$35k–$74k,Bachelor's,,,,
1268,51,Female,Bachelor's degree(s) or some graduate school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,35.0,10.0,About the same,,,,,,5.0,0.1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.671300747,45–59,$75k–$124k,Bachelor's,,,0.0,
1269,50,Female,Bachelor's degree(s) or some graduate school,"$150,000 to $199,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,3.0,Private vehicle,20.0,19.0,Decreased somewhat,,,,,,3.0,0.0,0.1,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,1.17535701,45–59,$125k+,Bachelor's,,,-1.0,
1270,58,Male,Some grade/high school,"$100,000 to $124,999",Employed full time,"Yes, working part-time or reduced hours",,,No,,No,,No,,6.0,Private vehicle,45.0,,About the same,,,,,,3.0,0.0,0.0,3.0,0.0,0.5,5.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,9.722908289,45–59,$75k–$124k,High school or less,,,0.0,
1271,34,Female,Bachelor's degree(s) or some graduate school,"$50,000 to $74,999",Employed part time,"No, I'm furloughed without pay",,,No,,,,Yes,A few times/year,7.0,Private vehicle,45.0,30.0,,,,,,,0.1,0.1,0.1,0.1,0.0,3.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,Yes,1.180957744,30–44,$35k–$74k,Bachelor's,,0.1,,
1272,43,Male,Completed high school or GED,"$25,000 to $34,999",Employed full time,"Yes, working full-time",Manufacturing or construction,,No,,No,,No,,7.0,Transit,25.0,,About the same,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,1.843847912,30–44,Under $35k,High school or less,,,0.0,
1273,43,Male,Completed graduate degree(s),"$150,000 to $199,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,Yes,A few times/month,Yes,7.0,Yes,A few times/week,5.0,Private vehicle,20.0,15.0,In some ways it has increased and in other ways it has decreased,More distractions at home,Not selected,Not selected,Less distractions at home,No commuting time,5.0,0.1,0.1,0.1,0.0,0.1,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,1.349437221,30–44,$125k+,Graduate degree,0.5,3.0,0.0,Professional/Manager
1275,41,Male,Bachelor's degree(s) or some graduate school,"$100,000 to $124,999",Employed full time,"No, I'm furloughed without pay",,,No,,,,No,,5.0,Personal bicycle/scooter,12.0,2.0,,,,,,,0.1,0.0,0.5,5.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,Yes,Yes,1.841918344,30–44,$75k–$124k,Bachelor's,,,,
1276,62,Female,Some college or technical school,"$200,000 or more",Employed part time,"No, I'm furloughed with pay",,,No,,,,No,,5.0,Private vehicle,20.0,15.0,,,,,,,3.0,0.5,0.0,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,1.410681424,60–74,$125k+,Some college,,,,
1277,35,Female,Completed graduate degree(s),"$200,000 or more","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.1,0.0,0.1,0.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0,1.0,,,,I realized I really like biking,Not selected,Not selected,Yes,Yes,0.736837299,30–44,$125k+,Graduate degree,,,,
1279,73,Female,Completed graduate degree(s),"$35,000 to $49,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.0,0.1,0.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.348874762,60–74,$35k–$74k,Graduate degree,,,,
1280,40,Female,Completed high school or GED,"$35,000 to $49,999",Not employed but looking for work,"No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.0,0.1,0.0,0.0,0.1,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,Not selected,Not selected,I no longer feel comfortable sharing space with strangers,Not selected,Not selected,I expect my city to make biking safer,Yes,Yes,5.389428064,30–44,$35k–$74k,High school or less,,,,
1281,39,Male,Some college or technical school,"$75,000 to $99,999",Employed full time,"Yes, working full-time",Manufacturing or construction,,No,,No,,No,,5.0,Private vehicle,15.0,7.0,Decreased somewhat,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,1.874063283,30–44,$75k–$124k,Some college,,,-1.0,
1282,29,Female,Some college or technical school,"$50,000 to $74,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.870548019,18–29,$35k–$74k,Some college,,,,
1284,57,Female,Completed graduate degree(s),"$50,000 to $74,999",Employed full time,"Yes, working full-time",,,No,,Yes,3.0,No,,5.0,Private vehicle,30.0,18.0,Decreased significantly,Not selected,Difficult to communicate with co-workers,Not selected,,,5.0,0.0,0.0,0.5,0.0,5.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.822420823,45–59,$35k–$74k,Graduate degree,,,-2.0,
1286,28,Female,Bachelor's degree(s) or some graduate school,"$35,000 to $49,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,25.0,19.0,In some ways it has increased and in other ways it has decreased,,,,,,5.0,0.1,0.5,0.0,0.0,0.5,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.166264238,18–29,$35k–$74k,Bachelor's,,,0.0,
1287,76,Female,Bachelor's degree(s) or some graduate school,"$35,000 to $49,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,0.397455706,75+,$35k–$74k,Bachelor's,,,,
1288,53,Male,Completed high school or GED,"$125,000 to $149,999",Employed full time,"Yes, working full-time",,,No,,No,,No,,5.0,Private vehicle,110.0,98.0,Increased significantly,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,8.675435858,45–59,$125k+,High school or less,,,2.0,
1289,55,Male,Completed graduate degree(s),"$200,000 or more",Employed full time,"Yes, working full-time",,,No,,No,,No,,7.0,Private vehicle,10.0,10.0,Increased significantly,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,No,2.152538288,45–59,$125k+,Graduate degree,,,2.0,
1290,42,Male,Bachelor's degree(s) or some graduate school,"$100,000 to $124,999",Employed full time,"Yes, working full-time","Professional, managerial, or technical",,No,,Yes,5.0,Yes,A few times/week,5.0,Transit,50.0,15.0,In some ways it has increased and in other ways it has decreased,More distractions at home,Not selected,Not selected,Not selected,No commuting time,0.5,0.1,5.0,0.5,0.0,5.0,3.0,,,,,4.0,0.0,-2.0,-2.0,1.0,0.0,0.0,Not selected,Not selected,Not selected,Not selected,Not selected,I expect my city to make biking safer,Yes,Yes,1.539444019,30–44,$75k–$124k,Bachelor's,,3.0,0.0,Professional/Manager
1291,75,Female,Completed high school or GED,"$50,000 to $74,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,3.0,0.0,0.5,3.0,0.0,0.0,4.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,1.833936094,75+,$35k–$74k,High school or less,,,,
1292,67,Male,Completed graduate degree(s),"$15,000 to $24,999","Not employed and not looking for work, including retired","No, I'm not employed",,,,,,,,,,,,,,,,,,,5.0,0.1,0.0,0.5,0.0,5.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Yes,Yes,0.252739506,60–74,Under $35k,Graduate degree,,,,
